"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jul 09 17:45:46 MSK 2021","Fri Jul 09 17:45:46 MSK 2021","156","test","test_add_remove_contact_to_from_group","","","","test_remove_contact_from_group",""
"passed","Fri Jul 09 17:45:50 MSK 2021","Fri Jul 09 17:45:51 MSK 2021","1001","test","test_mod_contact","","","","test_modification_some_contact_first_name",""
"passed","Fri Jul 09 17:45:53 MSK 2021","Fri Jul 09 17:45:54 MSK 2021","1095","test","test_mod_contact","","","","test_modification_some_contact_phone",""
"passed","Fri Jul 09 17:45:48 MSK 2021","Fri Jul 09 17:45:48 MSK 2021","229","test","test_db_matches_ui","","","","test_group_list",""
"passed","Fri Jul 09 17:45:38 MSK 2021","Fri Jul 09 17:45:39 MSK 2021","1413","test","test_add_contact","","","","test_add_contact[None:firstname8-lastnamePdH]",""
"failed","Fri Jul 09 17:45:47 MSK 2021","Fri Jul 09 17:45:48 MSK 2021","954","test","test_compare_contacts","","","","test_compare_contact_data_view_edit_page",""
"passed","Fri Jul 09 17:45:52 MSK 2021","Fri Jul 09 17:45:53 MSK 2021","1086","test","test_mod_contact","","","","test_modification_some_contact_address",""
"passed","Fri Jul 09 17:45:51 MSK 2021","Fri Jul 09 17:45:52 MSK 2021","1018","test","test_mod_contact","","","","test_modification_some_contact_last_name",""
"passed","Fri Jul 09 17:45:40 MSK 2021","Fri Jul 09 17:45:42 MSK 2021","1414","test","test_add_contact","","","","test_add_contact[None:firstnamewO-lastnamerCMo]",""
"passed","Fri Jul 09 17:45:49 MSK 2021","Fri Jul 09 17:45:50 MSK 2021","1216","test","test_mod_contact","","","","test_modification_some_contact",""
"passed","Fri Jul 09 17:45:34 MSK 2021","Fri Jul 09 17:45:36 MSK 2021","1636","test","test_add_contact","","","","test_add_contact[None:firstnameYS-lastnamea]",""
"passed","Fri Jul 09 17:45:43 MSK 2021","Fri Jul 09 17:45:44 MSK 2021","534","test","test_add_group","","","","test_add_group[None:namePd;headersbSMNeDMmuB;footery1zp8RY]",""
"passed","Fri Jul 09 17:45:56 MSK 2021","Fri Jul 09 17:45:56 MSK 2021","844","test","test_mod_group","","","","test_modification_some_group",""
"passed","Fri Jul 09 17:45:57 MSK 2021","Fri Jul 09 17:45:58 MSK 2021","621","test","test_mod_group","","","","test_modification_some_group_header",""
"passed","Fri Jul 09 17:45:39 MSK 2021","Fri Jul 09 17:45:40 MSK 2021","1390","test","test_add_contact","","","","test_add_contact[None:firstnameskc-lastname98Xz]",""
"failed","Fri Jul 09 17:45:48 MSK 2021","Fri Jul 09 17:45:48 MSK 2021","1","test","test_db_matches_ui","","","","test_contact_list",""
"passed","Fri Jul 09 17:45:42 MSK 2021","Fri Jul 09 17:45:43 MSK 2021","658","test","test_add_group","","","","test_add_group[None:;;]",""
"passed","Fri Jul 09 17:45:46 MSK 2021","Fri Jul 09 17:45:47 MSK 2021","232","test","test_compare_contacts","","","","test_compare_contact_data_home_page_db",""
"passed","Fri Jul 09 17:45:44 MSK 2021","Fri Jul 09 17:45:44 MSK 2021","528","test","test_add_group","","","","test_add_group[None:name98haDE3;header1UbB;footerE8ypCHtzcHN]",""
"passed","Fri Jul 09 17:45:58 MSK 2021","Fri Jul 09 17:45:58 MSK 2021","645","test","test_mod_group","","","","test_modification_some_group_footer",""
"passed","Fri Jul 09 17:45:43 MSK 2021","Fri Jul 09 17:45:43 MSK 2021","550","test","test_add_group","","","","test_add_group[None:name5Djw2;headerTBf1tQ2;footerAM]",""
"passed","Fri Jul 09 17:45:56 MSK 2021","Fri Jul 09 17:45:57 MSK 2021","536","test","test_mod_group","","","","test_modification_some_group_name",""
"passed","Fri Jul 09 17:45:48 MSK 2021","Fri Jul 09 17:45:48 MSK 2021","523","test","test_del_contact","","","","test_delete_some_contact",""
"passed","Fri Jul 09 17:45:45 MSK 2021","Fri Jul 09 17:45:45 MSK 2021","560","test","test_add_group","","","","test_add_group[None:name9;headerxVPu;footerbsusr8QgCGK6eQ]",""
"passed","Fri Jul 09 17:45:54 MSK 2021","Fri Jul 09 17:45:56 MSK 2021","1091","test","test_mod_contact","","","","test_modification_some_contact_email",""
"passed","Fri Jul 09 17:45:45 MSK 2021","Fri Jul 09 17:45:46 MSK 2021","508","test","test_add_remove_contact_to_from_group","","","","test_add_contact_to_group",""
"passed","Fri Jul 09 17:45:36 MSK 2021","Fri Jul 09 17:45:38 MSK 2021","1417","test","test_add_contact","","","","test_add_contact[None:firstname5-lastnamevR]",""
"passed","Fri Jul 09 17:45:48 MSK 2021","Fri Jul 09 17:45:49 MSK 2021","389","test","test_del_group","","","","test_delete_some_group",""
"passed","Fri Jul 09 17:45:44 MSK 2021","Fri Jul 09 17:45:45 MSK 2021","553","test","test_add_group","","","","test_add_group[None:nameU;headerOoXA4K9CXU;footer7EwT]",""
